id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
3CboywxfJIgvHqi2FF4exb,Loverboy,499,2019,649,604,224520,466,0,0.0334,0,93,-10093,1,68,0.0315,120045
00RLNHc2jkEjUoCUlFgPVT,welcome and goodbye,659,2018,0.0194,584,140643,717,0,756,0,0.0739,-5175,0,76,0.0266,140031
62C8Bd6EgEOofLZ1COjF3n,striptease,728,2019,124,693,160659,575,1,946,8,102,-8887,1,68,0.0727,130033
32pdmizVCumVDYAXTqHFRh,Dance In Room Song,759,2021,0.0293,583,171243,0.82,0,0.00119,11,608,-6774,1,57,0.0622,90611
2zAzuCsqsZkSkozxTXqtSn,Alive,0.72,2021,326,634,180295,837,0,835,5,545,-7141,1,4,0.0284,149623
78Sw5GDo6AlGwTwanjXbGh,Here With Me,288,2022,534,574,242485,469,0,9.21e-05,4,128,-8209,1,15,0.0254,132023
0JIMT9gzLIIz0esKLyjbKf,Telephones,183,2018,0.00283,526,212432,447,0,0.0301,2,109,-9268,1,85,0.0274,74995
2hIrHUgeI2cKYwM18MkGPK,Without You,297,2019,0.46,532,228080,529,0,206,7,161,-8652,1,65,0.0275,124934
6WlmEymaXKMRs3D2c4j6os,Inside Out,652,1998,0.84,553,141040,465,0,0.97,9,102,-9664,1,81,0.0301,79223
7IL8PSVwLOJxqYne6azxQv,Pretty Boy,569,2020,208,578,234093,386,0,0.0453,6,307,-11464,1,79,0.0278,154902
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,376,2020,325,485,164571,409,0,0.0,9,103,-10711,0,91,101,138419
3xKsf9qdS1CyvXSMEid6g8,Pink + White,549,2016,667,545,184516,545,0,5.48e-05,9,417,-7362,1,92,107,159.94
1eUGmzzvahJjOSWgDHuRlv,Girl With The Tattoo Enter.lewd,127,2010,856,372,102813,239,0,0.000175,6,168,-11314,0,85,0.0296,113451
0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,284,2018,544,515,209274,479,1,0.00598,3,191,-7458,1,74,0.0261,88964
