id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,user
0UV5zxRMz6AO4ZwUOZNIKI,Where'd All the Time Go?,0.575,2010,0.132,0.454,234800,0.82,0,0.000969,2,0.115,-4.193,1,82,0.0567,166.303,user_2
6jHvX8ZnHKC1PnrPMJ0Emt,Cigarette Daydreams,0.273,2013,0.0807,0.636,208760,0.676,0,0.0,2,0.0831,-3.442,1,78,0.0263,113.98,user_2
2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,0.518,2015,0.00543,0.611,218107,0.797,0,0.00137,6,0.26,-7.627,0,83,0.0533,120.041,user_2
5euumi7eqEgmxvCIJw2pSp,Hot Rod,0.832,2019,0.0279,0.707,204014,0.768,0,0.000292,7,0.169,-7.072,1,73,0.0323,139.985,user_2
57RA3JGafJm5zRtKJiKPIm,Are You Bored Yet? (feat. Clairo),0.64,2019,0.156,0.682,178000,0.683,0,2.32e-05,8,0.273,-6.444,0,84,0.0287,120.023,user_2
2Z5wXgysowvzl0nKGNGU0t,Out of My League,0.527,2013,0.0387,0.545,209386,0.968,0,0.00325,9,0.331,-3.553,0,80,0.0853,169.965,user_2
7oWbeO9v3Cfs900q7JhLAs,Come A Little Closer,0.304,2013,0.0265,0.44,229347,0.778,0,1.04e-06,1,0.151,-1.786,0,71,0.0327,148.038,user_2
4vsoWZcvtvSsE0OiVvDDvX,Harness Your Hopes - B-side,0.581,2008,0.289,0.604,206947,0.573,0,0.0406,2,0.133,-7.804,1,74,0.037,107.862,user_2
61OJxhoY3Ix50rYVKo8zRK,Can I Call You Tonight?,0.499,2019,0.134,0.641,278769,0.842,0,0.911,9,0.419,-7.27,1,80,0.0292,129.978,user_2
3VIJBrMpvimHEw5wtPh2wB,Money,0.452,2011,0.216,0.603,233639,0.918,0,0.146,4,0.284,-6.652,0,79,0.0641,102.473,user_2
5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,0.649,2020,0.0113,0.593,309053,0.749,0,0.106,5,0.314,-5.67,1,83,0.0475,164.959,user_2
1cwqP7Tyxu5z8XDYoPkNte,Chandelier,0.427,2020,0.674,0.333,127465,0.498,1,6.51e-06,2,0.12,-9.121,0,76,0.0468,87.082,user_2
3yXoqAiLWYQi5oNJN2MA4l,I Met Sarah in the Bathroom,0.229,2022,0.901,0.675,121375,0.408,0,0.000714,0,0.16,-10.861,1,10,0.142,90.111,user_2
3zksbXteOCeSusJ5Xltr3t,Bubble Gum,0.229,2019,0.979,0.509,175961,0.0167,0,2.72e-05,9,0.387,-24.639,1,81,0.115,207.97,user_2
3jfZ9M23l0L7RxzYMTgBTv,Looking Out for You,0.937,2016,0.0884,0.682,179499,0.9,0,0.063,9,0.0685,-5.028,1,82,0.0874,100.721,user_2
0sTlGEld0h8kIPZaKDYUf4,Notion,0.312,2021,0.0673,0.309,195121,0.883,0,0.00111,9,0.0849,-3.825,1,85,0.0808,159.488,user_2
3Z6cltU0OfbUdSZtZlzKPL,Dream Girl,0.583,2019,0.372,0.945,179287,0.239,0,0.29,4,0.118,-17.862,1,74,0.0389,118.616,user_2
01TyFEZu6mHbffsVfxgrFn,Show Me How,0.544,2018,0.674,0.791,215111,0.267,0,0.534,5,0.102,-11.997,1,61,0.0415,165.99,user_2
7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),0.358,2017,0.422,0.658,278180,0.294,0,5.2e-05,4,0.0749,-8.533,0,86,0.0321,74.038,user_2
0f8eRy9A0n6zXpKSHSCAEp,Infrunami,0.215,2020,0.31,0.826,178328,0.299,0,0.0952,9,0.0758,-7.721,1,85,0.0446,97.012,user_2
3a3dQOO19moXPeTt2PomoT,What You Heard,0.135,2019,0.546,0.429,238242,0.371,1,5.71e-06,2,0.104,-9.017,0,82,0.0327,137.134,user_2
1ucnuV88gFTfR3BalmznDk,Lover Is a Day,0.351,2016,0.0434,0.404,456000,0.647,1,0.198,3,0.1,-10.452,1,76,0.0409,180.128,user_2
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,0.216,2022,0.453,0.571,132631,0.544,0,0.00805,6,0.322,-10.613,1,91,0.0299,132.052,user_2
