Titolo,ID,Durata,Spotify URL,URI,Album
Safaera,2DEZmgHKAvm41k4J3R2E9Y,4.92,"<a href=""https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y"" target=""_blank"">https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y</a>",2DEZmgHKAvm41k4J3R2E9Y,YHLQMDLG
25/8,4NqQaovM14WR2hNPMFxgjb,4.05,"<a href=""https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb"" target=""_blank"">https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb</a>",4NqQaovM14WR2hNPMFxgjb,YHLQMDLG
Está Cabrón Ser Yo,4saHEjXw7O1NXJOzBkUKKG,3.8,"<a href=""https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG"" target=""_blank"">https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG</a>",4saHEjXw7O1NXJOzBkUKKG,YHLQMDLG
Puesto Pa' Guerrial,5gCg2qMPzKkW4jS4dBKdDs,3.17,"<a href=""https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs"" target=""_blank"">https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs</a>",5gCg2qMPzKkW4jS4dBKdDs,YHLQMDLG
P FKN R,0fgsKar6uBO08vzHXkTjWi,4.3,"<a href=""https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi"" target=""_blank"">https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi</a>",0fgsKar6uBO08vzHXkTjWi,YHLQMDLG
Hablamos Mañana,1V8XneTrX6kKeoxYbk4x6h,4.0,"<a href=""https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h"" target=""_blank"">https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h</a>",1V8XneTrX6kKeoxYbk4x6h,YHLQMDLG
<3,4MZSqgwlE71CWZ6qQ3gkKm,2.63,"<a href=""https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm"" target=""_blank"">https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm</a>",4MZSqgwlE71CWZ6qQ3gkKm,YHLQMDLG
MOJAITA,71pEiUWwfDFiRO6RmFpnBf,3.12,"<a href=""https://open.spotify.com/track/71pEiUWwfDFiRO6RmFpnBf"" target=""_blank"">https://open.spotify.com/track/71pEiUWwfDFiRO6RmFpnBf</a>",71pEiUWwfDFiRO6RmFpnBf,OASIS
YO LE LLEGO,0uIfrUwwg0Z7KTitul7E3T,4.16,"<a href=""https://open.spotify.com/track/0uIfrUwwg0Z7KTitul7E3T"" target=""_blank"">https://open.spotify.com/track/0uIfrUwwg0Z7KTitul7E3T</a>",0uIfrUwwg0Z7KTitul7E3T,OASIS
CUIDAO POR AHÍ,6SYSu569pfYdkDT9A5lZqi,3.31,"<a href=""https://open.spotify.com/track/6SYSu569pfYdkDT9A5lZqi"" target=""_blank"">https://open.spotify.com/track/6SYSu569pfYdkDT9A5lZqi</a>",6SYSu569pfYdkDT9A5lZqi,OASIS
QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,3.71,"<a href=""https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt"" target=""_blank"">https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt</a>",25ZAibhr3bdlMCLmubZDVt,OASIS
LA CANCIÓN,0fea68AdmYNygeTGI4RC18,4.04,"<a href=""https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18"" target=""_blank"">https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18</a>",0fea68AdmYNygeTGI4RC18,OASIS
UN PESO,7hynhxDoDpgMIV12JuVtNa,4.62,"<a href=""https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa"" target=""_blank"">https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa</a>",7hynhxDoDpgMIV12JuVtNa,OASIS
ODIO,7alOsNr36sJ8CyOEP4aILq,4.51,"<a href=""https://open.spotify.com/track/7alOsNr36sJ8CyOEP4aILq"" target=""_blank"">https://open.spotify.com/track/7alOsNr36sJ8CyOEP4aILq</a>",7alOsNr36sJ8CyOEP4aILq,OASIS
COMO UN BEBÉ,7knLcYCOSaURD0d7HUULFM,3.65,"<a href=""https://open.spotify.com/track/7knLcYCOSaURD0d7HUULFM"" target=""_blank"">https://open.spotify.com/track/7knLcYCOSaURD0d7HUULFM</a>",7knLcYCOSaURD0d7HUULFM,OASIS
NI BIEN NI MAL,278kSqsZIiYp8p3QjYAqa8,3.94,"<a href=""https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8"" target=""_blank"">https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8</a>",278kSqsZIiYp8p3QjYAqa8,X 100PRE
200 Mph,5jGUJXnELDaDTgiRjD9lsg,2.84,"<a href=""https://open.spotify.com/track/5jGUJXnELDaDTgiRjD9lsg"" target=""_blank"">https://open.spotify.com/track/5jGUJXnELDaDTgiRjD9lsg</a>",5jGUJXnELDaDTgiRjD9lsg,X 100PRE
¿Quien Tu Eres?,6kN06eEOblRAuWI0xUUS91,2.65,"<a href=""https://open.spotify.com/track/6kN06eEOblRAuWI0xUUS91"" target=""_blank"">https://open.spotify.com/track/6kN06eEOblRAuWI0xUUS91</a>",6kN06eEOblRAuWI0xUUS91,X 100PRE
